品種コード,品種名,品種略称名,JA商品ｸﾞﾙｰﾌﾟ
0,その他,,
1000,外注加工賃,,
2150,ｼｰﾙ,シール,135
2200,種子･他,種子、他,135
2250,大根,,123
2325,ﾚﾀｽ,レタス,123
2407,ｻﾆｰﾚﾀｽ,サニーレタス,123
2550,法蓮草,,123
2650,長葱,,123
2750,玉葱,,123
2850,白菜,,123
2950,かぶ,,123
3050,ｶﾘﾌﾗﾜｰ,カリフラワー,123
3150,人参,,123
3250,牛蒡,,123
3350,ｷｬﾍﾞﾂ,キャベツ,123
3450,ｲﾝｹﾞﾝ,インゲン,123
3550,ｴﾝﾄﾞｳ,エンドウ,123
3650,豆,,123
3750,ﾌﾞﾛｯｺﾘｰ,ブロッコリー,123
3850,茄子,,123
3950,ﾋﾟｰﾏﾝ,ピーマン,123
4050,唐辛子,,123
4199,ｼｼﾄｳ,シシトウ,123
4250,ｵｸﾗ,オクラ,123
4350,ｱｽﾊﾟﾗｶﾞｽ,アスパラガス,123
4450,ﾆﾗ,ニラ,123
4550,小松菜,,123
4650,高菜,,123
4750,枝豆,,123
4850,南瓜,,123
4950,ｷｭｳﾘ,キュウリ,123
5050,ﾄﾏﾄ,トマト,123
5150,ﾐﾆﾄﾏﾄ,ミニトマト,123
5250,ﾒﾛﾝ,メロン,123
5350,ｽｲｶ,スイカ,123
5450,ﾄｳﾓﾛｺｼ,トウモロコシ,123
5500,苗,,123
5505,赤なす　20ml,赤なす２０ｍｌ,　
5550,台木,,123
5601,種芋.生姜,種芋、生姜,
5602,種芋.里芋,種芋、里芋,
5603,種芋.蒟蒻,種芋、蒟蒻,
5604,種芋.甘藷,種芋、甘藷,
5650,種芋.ｳｲﾙｽﾌﾘｰ,種芋、ウイルスフリー,
5700,芋.他,芋、他,135
5800,秋委託,,
5900,春委託,,
6100,緑肥,,135
6500,草花,,
6950,運賃,,135
9000,値引き,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
